from,to,amount,resource,time
0,72832678164482443,2.314816160975397e-05,food,128
0,72832678164482443,2.314814809878385e-05,water,128
0,72832678164482443,2.3148144066453824e-05,energy,128
0,72832678164482443,2.3148134687289712e-05,food,129
0,72832678164482443,2.314814814852184e-05,water,129
0,72832678164482443,2.314814814852184e-05,energy,129
0,72832678164482443,2.314816160975397e-05,food,130
0,72832678164482443,2.314814814852184e-05,water,130
0,72832678164482443,2.314814814852184e-05,energy,130
0,72832678164482443,2.3148134687289712e-05,food,131
0,72832678164482443,2.314814814852184e-05,water,131
0,72832678164482443,2.314814814852184e-05,energy,131
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,131
0,72832678164482443,2.314816160975397e-05,food,132
0,72832678164482443,2.314814814852184e-05,water,132
0,72832678164482443,2.314814814852184e-05,energy,132
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,132
0,72832678164482443,2.3148134687289712e-05,food,133
0,72832678164482443,2.314814814852184e-05,water,133
0,72832678164482443,2.314814814852184e-05,energy,133
0,72832678164482443,2.314816160975397e-05,food,134
0,72832678164482443,2.314814814852184e-05,water,134
0,72832678164482443,2.314814814852184e-05,energy,134
0,72832678164482443,2.3148134687289712e-05,food,135
0,72832678164482443,2.314814814852184e-05,water,135
0,72832678164482443,2.314814814852184e-05,energy,135
0,72832678164482443,2.314816160975397e-05,food,136
0,72832678164482443,2.314814814852184e-05,water,136
0,72832678164482443,2.314814814852184e-05,energy,136
0,72832678164482443,2.3148134687289712e-05,food,137
0,72832678164482443,2.314814814852184e-05,water,137
0,72832678164482443,2.314814814852184e-05,energy,137
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,137
0,72832678164482443,2.314816160975397e-05,food,138
0,72832678164482443,2.314814814852184e-05,water,138
0,72832678164482443,2.314814814852184e-05,energy,138
0,72832678164482443,2.3148134687289712e-05,food,139
0,72832678164482443,2.314814814852184e-05,water,139
0,72832678164482443,2.314814814852184e-05,energy,139
0,72832678164482443,2.314816160975397e-05,food,140
0,72832678164482443,2.314814814852184e-05,water,140
0,72832678164482443,2.314814814852184e-05,energy,140
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,140
0,72832678164482443,2.3148134687289712e-05,food,141
0,72832678164482443,2.314814814852184e-05,water,141
0,72832678164482443,2.314814814852184e-05,energy,141
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,141
0,72832678164482443,2.314816160975397e-05,food,142
0,72832678164482443,2.314814814852184e-05,water,142
0,72832678164482443,2.314814814852184e-05,energy,142
0,72832678164482443,2.3148134687289712e-05,food,143
0,72832678164482443,2.314814814852184e-05,water,143
0,72832678164482443,2.314814814852184e-05,energy,143
0,72832678164482443,2.314816160975397e-05,food,144
0,72832678164482443,2.314814814852184e-05,water,144
0,72832678164482443,2.314814814852184e-05,energy,144
0,72832678164482443,2.3148134687289712e-05,food,145
0,72832678164482443,2.314814814852184e-05,water,145
