from,to,amount,resource,time
4367212442693622771,6678226921428014654,0.16666666666666696,energy,64800
6020427076749934001,940376366249863041,0.16666666666666674,energy,64800
4367212442693622771,9169393089374786098,0.08333354697204509,energy,64800
6020427076749934001,9169393089374786098,0.08333311969462098,energy,64800
59157180392455231,4215053395084778161,0.16666666666666607,food,72000
59157180392455231,471331748438011125,0.1666666666666643,food,72000
59157180392455231,5486152879909817087,0.16666666666666008,food,72000
59157180392455231,4215053395084778161,0.16666666666666607,water,72000
59157180392455231,471331748438011125,0.1666666666666643,water,72000
59157180392455231,5486152879909817087,0.16666666666666008,water,72000
59157180392455231,4215053395084778161,0.16666666666666607,energy,72000
59157180392455231,471331748438011125,0.1666666666666643,energy,72000
59157180392455231,5486152879909817087,0.16666666666666008,energy,72000
4367212442693622771,6678226921428014654,0.16666666666666696,food,72000
6020427076749934001,940376366249863041,0.16666666666666674,food,72000
4367212442693622771,9169393089374786098,0.08333377723059154,food,72000
6020427076749934001,9169393089374786098,0.08333288943607453,food,72000
4367212442693622771,6678226921428014654,0.16666666666666696,water,72000
6020427076749934001,940376366249863041,0.16666666666666674,water,72000
4367212442693622771,9169393089374786098,0.08333377723059154,water,72000
6020427076749934001,9169393089374786098,0.08333288943607453,water,72000
4367212442693622771,6678226921428014654,0.16666666666666696,energy,72000
6020427076749934001,940376366249863041,0.16666666666666674,energy,72000
4367212442693622771,9169393089374786098,0.08333377723059154,energy,72000
6020427076749934001,9169393089374786098,0.08333288943607453,energy,72000
59157180392455231,4215053395084778161,0.16666666666666785,food,79200
59157180392455231,471331748438011125,0.16666666666666785,food,79200
59157180392455231,5486152879909817087,0.16666666666665253,food,79200
59157180392455231,4215053395084778161,0.16666666666666785,water,79200
59157180392455231,471331748438011125,0.16666666666666785,water,79200
59157180392455231,5486152879909817087,0.16666666666665253,water,79200
59157180392455231,4215053395084778161,0.16666666666666785,energy,79200
59157180392455231,471331748438011125,0.16666666666666785,energy,79200
59157180392455231,5486152879909817087,0.16666666666665253,energy,79200
6020427076749934001,6678226921428014654,0.16666666666666696,food,79200
4367212442693622771,940376366249863041,0.16666666666666674,food,79200
6020427076749934001,9169393089374786098,0.0833344048470499,food,79200
4367212442693622771,9169393089374786098,0.08333226181961462,food,79200
6020427076749934001,6678226921428014654,0.16666666666666696,water,79200
4367212442693622771,940376366249863041,0.16666666666666674,water,79200
6020427076749934001,9169393089374786098,0.0833344048470499,water,79200
4367212442693622771,9169393089374786098,0.08333226181961462,water,79200
6020427076749934001,6678226921428014654,0.16666666666666696,energy,79200
4367212442693622771,940376366249863041,0.16666666666666674,energy,79200
6020427076749934001,9169393089374786098,0.0833344048470499,energy,79200
4367212442693622771,9169393089374786098,0.08333226181961462,energy,79200
59157180392455231,5486152879909817087,0.16666666666668228,food,86400
59157180392455231,4215053395084778161,0.16666666666666696,food,86400
59157180392455231,471331748438011125,0.16666666666666607,food,86400
59157180392455231,5486152879909817087,0.16666666666668228,water,86400
59157180392455231,4215053395084778161,0.16666666666666696,water,86400
59157180392455231,471331748438011125,0.16666666666666607,water,86400
59157180392455231,5486152879909817087,0.16666666666668228,energy,86400
59157180392455231,4215053395084778161,0.16666666666666696,energy,86400
59157180392455231,471331748438011125,0.16666666666666607,energy,86400
4367212442693622771,6678226921428014654,0.16666666666666696,food,86400
6020427076749934001,940376366249863041,0.16666666666666674,food,86400
4367212442693622771,9169393089374786098,0.08333366106518181,food,86400
6020427076749934001,9169393089374786098,0.08333300560148427,food,86400
4367212442693622771,6678226921428014654,0.16666666666666696,water,86400
6020427076749934001,940376366249863041,0.16666666666666674,water,86400
4367212442693622771,9169393089374786098,0.08333366106518181,water,86400
6020427076749934001,9169393089374786098,0.08333300560148427,water,86400
4367212442693622771,6678226921428014654,0.16666666666666696,energy,86400
6020427076749934001,940376366249863041,0.16666666666666674,energy,86400
4367212442693622771,9169393089374786098,0.08333366106518181,energy,86400
6020427076749934001,9169393089374786098,0.08333300560148427,energy,86400
59157180392455231,5486152879909817087,0.16666666666667118,food,93600
59157180392455231,4215053395084778161,0.16666666666666696,food,93600
59157180392455231,471331748438011125,0.16666666666666607,food,93600
59157180392455231,5486152879909817087,0.16666666666667118,water,93600
59157180392455231,4215053395084778161,0.16666666666666696,water,93600
59157180392455231,471331748438011125,0.16666666666666607,water,93600
59157180392455231,5486152879909817087,0.16666666666667118,energy,93600
59157180392455231,4215053395084778161,0.16666666666666696,energy,93600
59157180392455231,471331748438011125,0.16666666666666607,energy,93600
6020427076749934001,6678226921428014654,0.16666666666666696,food,93600
4367212442693622771,940376366249863041,0.16666666666666674,food,93600
6020427076749934001,9169393089374786098,0.058233642773267924,food,93600
4367212442693622771,9169393089374786098,0.057929599132264364,food,93600
6020427076749934001,6678226921428014654,0.16666666666666696,water,93600
4367212442693622771,940376366249863041,0.16666666666666674,water,93600
6020427076749934001,9169393089374786098,0.058233642773267924,water,93600
4367212442693622771,9169393089374786098,0.057929599132264364,water,93600
6020427076749934001,6678226921428014654,0.16666666666666696,energy,93600
4367212442693622771,940376366249863041,0.16666666666666674,energy,93600
6020427076749934001,9169393089374786098,0.058233642773267924,energy,93600
4367212442693622771,9169393089374786098,0.057929599132264364,energy,93600
59157180392455231,4215053395084778161,0.16666666666666696,food,100800
59157180392455231,471331748438011125,0.16666666666666607,food,100800
59157180392455231,5486152879909817087,0.16666666666666186,food,100800
59157180392455231,4215053395084778161,0.16666666666666696,water,100800
59157180392455231,471331748438011125,0.16666666666666607,water,100800
59157180392455231,5486152879909817087,0.16666666666666186,water,100800
59157180392455231,4215053395084778161,0.16666666666666696,energy,100800
59157180392455231,471331748438011125,0.16666666666666607,energy,100800
59157180392455231,5486152879909817087,0.16666666666666186,energy,100800
6020427076749934001,6678226921428014654,0.11773938371349146,food,100800
9169393089374786098,940376366249863041,0.11340496042704729,food,100800
4367212442693622771,940376366249863041,0.053261706239619455,food,100800
4367212442693622771,6678226921428014654,0.0489272829531755,food,100800
6020427076749934001,6678226921428014654,0.11773938371349146,water,100800
9169393089374786098,940376366249863041,0.11340496042704729,water,100800
4367212442693622771,940376366249863041,0.053261706239619455,water,100800
4367212442693622771,6678226921428014654,0.0489272829531755,water,100800
6020427076749934001,6678226921428014654,0.11773938371349146,energy,100800
9169393089374786098,940376366249863041,0.11340496042704729,energy,100800
4367212442693622771,940376366249863041,0.053261706239619455,energy,100800
4367212442693622771,6678226921428014654,0.0489272829531755,energy,100800
59157180392455231,5486152879909817087,0.1666666666666725,food,108000
59157180392455231,4215053395084778161,0.1666666666666652,food,108000
59157180392455231,471331748438011125,0.1666666666666643,food,108000
59157180392455231,5486152879909817087,0.1666666666666725,water,108000
59157180392455231,4215053395084778161,0.1666666666666652,water,108000
59157180392455231,471331748438011125,0.1666666666666643,water,108000
